utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"[""-- it's, {f uh, } got some nice features in terms of being able to remove seats and flip them around  /""]", its f uh  got some nice features in terms of being able to remove seats and flip them around  ,+,MALE,0
"[""{c so } we've been able to do some real creative, {f uh, } load hauling when called upon. /""]",c so  weve been able to do some real creative f uh  load hauling when called upon ,sd,MALE,1
"['one of my sons has [ a, + a ] plymouth, {f uh, } van --']",one of my sons has  a  a  plymouth f uh  van ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"['-- or, {d you know, } {f uh, } {f uh, } that same type of thing, the voyager, i guess -- /']", or d you know  f uh  f uh  that same type of thing the voyager i guess  ,+,MALE,0
['right. /'],right ,b,MALE,2
"[""-- {c and, } {f uh, } they have [ a, + a ] child that's five years old  /""]", c and  f uh  they have  a  a  child thats five years old  ,sd,MALE,1
"[""{c and } it's really handy for hauling him around [ and, + and ] their stuff,  /""]",c and  its really handy for hauling him around  and  and  their stuff  ,sd,MALE,1
"[""{c and, } of course, as he gets friends, i'm sure that will be even handier.  /""]",c and  of course as he gets friends im sure that will be even handier  ,sv,MALE,3
"[""{c so, } i know [ [ if we were, + if we had kids still at home, ] + {a we're in our fifties now, } {c but, } if we had kids still at home, ] we'd certainly have to seriously consider a van just for their functional value. /""]",c so  i know   if we were  if we had kids still at home   a were in our fifties now  c but  if we had kids still at home  wed certainly have to seriously consider a van just for their functional value ,sd,MALE,1
"['yeah,  /']",yeah  ,b,MALE,2
"[""i think that we're going to be, {f uh, } owning a mini van for some years to come.  /""]",i think that were going to be f uh  owning a mini van for some years to come  ,sv,MALE,3
"['probably till the kids are out of, {f uh, } high school anyway. /']",probably till the kids are out of f uh  high school anyway ,sv,MALE,3
"['what about, {f uh, } all wheel drive?  /']",what about f uh  all wheel drive  ,qw,MALE,12
"[""is that something that you'd be interested in  /""]",is that something that youd be interested in  ,qy,MALE,7
"['{c or } is that, -/']",c or  is that ,%,MALE,5
"[""{f uh } <breathing> i'd be satisfied with [ a, + a ] good front wheel drive car when it comes time to replace the sentra. /""]",f uh  breathing id be satisfied with  a  a  good front wheel drive car when it comes time to replace the sentra ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"[""{c and } even [ as, + as ] light as that is with, {f uh, } the small tires [ it's, + it's ] done pretty well --""]",c and  even  as  as  light as that is with f uh  the small tires  its  its  done pretty well ,sv,MALE,3
['uh-huh. /'],uhhuh ,b,MALE,2
"['-- in winter,  /']", in winter  ,+,MALE,0
"[""{f uh, } again, like you, if conditions [ are, + are ] that bad, i probably don't want to be driving anyway. /""]",f uh  again like you if conditions  are  are  that bad i probably dont want to be driving anyway ,sv,MALE,3
['right. /'],right ,b,MALE,2
"[""{c so } i know i'd be happy with [ a, + a ] reasonable, {f uh, } four door.  /""]",c so  i know id be happy with  a  a  reasonable f uh  four door  ,sd,MALE,1
"[""{d you know, } again, [ we've, + we've ] got the same issue with getting kids into the, -/""]",d you know  again  weve  weve  got the same issue with getting kids into the ,sd,MALE,1
